Datum-Bericht,date,R,lower,upper
07.04.2020,04.04.2020,1.3,1,1.6
08.04.2020,05.04.2020,1.2,0.9,1.6
09.04.2020,06.04.2020,1.1,0.9,1.4
10.04.2020,07.04.2020,1.1,0.9,1.4
11.04.2020,08.04.2020,1.3,1.1,1.7
12.04.2020,09.04.2020,1.3,1,1.6
13.04.2020,10.04.2020,1.2,1,1.6
14.04.2020,11.04.2020,1,0.8,1.2
15.04.2020,12.04.2020,0.9,0.8,1.1
16.04.2020,13.04.2020,0.7,0.5,0.8
17.04.2020,14.04.2020,0.7,0.6,0.8
18.04.2020,15.04.2020,0.8,0.7,1
19.04.2020,16.04.2020,0.8,0.7,1
20.04.2020,17.04.2020,0.9,0.8,1.1
21.04.2020,18.04.2020,0.9,0.8,1.1
22.04.2020,19.04.2020,0.9,0.7,1
23.04.2020,20.04.2020,0.9,0.7,1
24.04.2020,21.04.2020,0.9,0.7,1
25.04.2020,22.04.2020,0.9,0.7,1.1